state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.diagnosed,deaths.diagnosed.hi,deaths.diagnosed.lo,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,diagnoses,diagnoses.hi,diagnoses.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Louisiana,2020-06-08,333.6352138648575,574.683638125314,200.83086048653183,344942.88249232725,25.185738292904958,20.140404390023754,31.183953495428415,13.111254127857045,20.1019651514532,29.828352961853124,13.503458947405564,54.9463515816422,15.056099791862144,333.9456899187709,771.0641844184693,155.050341614801,1777.2918763207613,34783.73042468641,57.67467443296937,338.6414658321465,1157.9351257010358,125.87308264359856,1566.4286687424756,15748.817248712126,134.61474519013802,TRUE,0.9896093779011492,0.293236627680018,2.40599779850414,1.0051429794556472,0.9621719738032765,1.049374747749988,127971.94610269384,715763.1996697006,122
Louisiana,2020-06-09,334.36615213454854,613.9503768330032,191.469316552318,348717.48229403864,25.20105438878885,20.240965829052357,32.231089842108744,12.685359892018162,20.25255057139482,30.76274387589418,13.180747242751167,56.710228606196495,14.805622909001542,336.0580220629495,853.3507147514194,145.42073469884673,1811.7798458298303,44693.76862225348,46.42587531583271,338.9483768229529,1259.0217306064355,114.54931541406955,1511.5969181597884,18591.23289721305,114.8865695882325,TRUE,0.9992447407256659,0.281542842544823,2.43469401151981,0.9784266779124442,0.936031275956822,1.0220833067037571,127082.34553325336,723864.4180523241,123
Louisiana,2020-06-10,334.9870257434013,667.3801157023834,180.46502269833294,351246.336284702,25.430513163474572,20.327143917239155,33.8590094853506,12.077085306539026,20.344182126053315,31.455060199707887,12.779915746154419,59.05461053341172,14.148720300144642,333.74924832432555,948.5566387596057,137.91172476338272,1746.784763102913,51246.35025706503,41.87125464804503,341.93531258915345,1368.1498797297527,103.88621426294091,1515.3853955800942,20730.32586677037,99.4910893162945,TRUE,NA,NA,NA,NA,NA,NA,121602.94233700982,757750.6034324256,124
Louisiana,2020-06-11,334.85241353836057,729.5994727431839,167.5007692167478,355516.2085315966,25.752600125519592,20.35719230390979,36.0905851716939,11.44278070985302,20.4240211782885,33.18102479325941,12.393129037868775,62.25134981302061,13.687378531428596,331.282400266226,1045.368542389643,125.95422514257427,1735.4286022714318,60626.90604931387,34.55036583925586,342.7008895630818,1465.1632250998846,96.96944497845152,1504.9337289261784,24213.740944872752,82.65690026507436,TRUE,NA,NA,NA,NA,NA,NA,130406.66628037616,812344.3406292368,125
Maine,2020-02-08,2.8593047953992074e-8,6.944278270120066e-6,1.803760484055792e-10,0.3136687185859187,6.947471550926733e-12,5.358677483298678e-12,9.073243329089386e-11,2.0056414631087512e-13,8.561696955865062e-13,3.038033277646945e-11,6.252368357756645e-15,1.2200342450918775e-10,2.6176586430206475e-13,1.8195776200014548e-7,5.691836266038501e-5,1.9525652259458754e-9,0.3136687185859187,5.314524618852902,0.010627873155683674,9.341074157858203e-9,1.6216389528314454e-7,3.1807813265477765e-10,5.241513514882265e-4,0.009052471857390179,1.76499255628986e-5,FALSE,NA,NA,NA,NA,NA,NA,5.867983203175323e-4,3.9698379065546563,1
Maine,2020-02-09,1.023904975079129e-6,1.8075499544627064e-4,7.609706132823497e-9,0.6701169454972493,3.034668904712904e-10,2.344121881055756e-10,3.94848344234911e-9,8.7662954937266e-12,3.9294831915305984e-11,1.3424716771861233e-9,3.4134577999257666e-13,5.297029324433405e-9,1.146626779404524e-11,5.758333151939929e-6,0.0012046892502650176,7.517275548069343e-8,0.3424214381139904,4.868239333532825,0.013428713512553214,3.769016613146587e-7,6.499358618192062e-6,1.2895548288198136e-8,0.009066297738336802,0.1545037663139483,3.086331720639409e-4,FALSE,NA,NA,NA,NA,NA,NA,0.0014447388954694847,7.7467713512454335,2
Maine,2020-02-10,1.309366987524026e-5,0.0014616071831742884,1.2491339111934177e-7,1.0388537101257562,4.966170797893718e-9,3.854650882308396e-9,6.430815910890687e-8,1.4395088311362823e-10,6.679941924389619e-10,2.238153768353454e-8,7.186673581050731e-12,8.60375876154925e-8,1.888787012436075e-10,6.58345195418025e-5,0.0077913813359187754,1.0331373733205273e-6,0.3833830155137507,4.740955188840906,0.015843053779992587,5.394606129239137e-6,9.175767985206892e-5,1.8589205419419032e-7,0.03660726424150221,0.5910075148999636,0.0012791820679168163,FALSE,NA,NA,NA,NA,NA,NA,0.0027555174623418114,11.333976509742932,3
Maine,2020-02-11,8.012405324945844e-5,0.005904358339141544,9.406335809510014e-7,1.4830755925512475,4.185702472265051e-8,3.281925602597067e-8,5.364681132533105e-7,1.2184014438345652e-9,6.0562157574125755e-9,1.9179331795244187e-7,9.153078884255991e-11,7.146275176818334e-7,1.6049158243140168e-9,3.541776951971888e-4,0.025425035830875915,6.559824644750343e-6,0.4197826273847339,4.646805589475523,0.020092258985366797,3.666207399170944e-5,6.114332396983193e-4,1.2787931864289184e-6,0.08238177335832678,1.2385514197927572,0.0030000385380983758,FALSE,3.4657359027997265,1.93016139393459,10.4251544260916,NA,NA,NA,0.004846309156785428,14.69824543071835,4
Maine,2020-02-12,3.150256631223985e-4,0.01797418661095344,4.699476283489882e-6,1.9259724388202974,2.2936641020715831e-7,1.7889092734805734e-7,2.8719297227754964e-6,6.722055396655555e-9,3.660599497726587e-8,1.0848267726094435e-6,6.496950769957816e-10,3.804962960712105e-6,8.79917645827026e-9,0.001172366507048423,0.05748381919381447,2.7845840552587293e-5,0.4662801367351236,4.603817264240027,0.02583054606840718,1.562684505395946e-4,0.0025369809395230404,5.541175114804986e-6,0.13869436610271274,1.9616323144115082,0.0052679430598297165,FALSE,3.4657359027997265,1.30674604808846,10.4251544260916,NA,NA,NA,0.007991650367731263,18.147207137104022,5
Maine,2020-02-13,9.217211270499167e-4,0.03812668026403766,1.696539602873165e-5,2.484118546087534,9.042599652044571e-7,7.099545626131638e-7,1.1218226478159492e-5,2.755525471680574e-8,1.6431926663328086e-7,4.416297333916458e-6,3.427226667293383e-9,1.4770603831354098e-5,3.537144302523559e-8,0.0028904895475463195,0.09324749766661636,7.908307639648875e-5,0.5260759920322182,4.977424236501342,0.03362958542823716,4.836775696418909e-4,0.0076329492228785385,1.790706404480533e-5,0.19410864257374374,2.610231057402251,0.00778148759705828,FALSE,3.4657359027997265,1.01994498366093,10.4251544260916,NA,NA,NA,0.030077970848924315,22.10639656792214,6
