max_date,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
2020-05-20,2020-03-14,220.3186491664557,337.29071249459514,151.56102698105894,413807.5445251248,4.488676898814902,1.483247169378675,2.3782290819427288,0.9746936496229075,17.619242627482457,1.8804504720393358,87563.02294970865,376383.124407132,31904.729936590593,316.5363579340152,1297.294199633921,107.27811641855241,19342.59875211223,76942.48683909551,6617.008743939967,TRUE,2.134064282651999,1.31937898746754,2.92412219937452,3.1537788993156086,2.931198612483485,3.3873519083668433,97946.59290256762,1453808.1470774598,39
2020-05-20,2020-03-15,329.61409725217607,493.40110860880714,228.91491153067597,513803.34325744153,6.604298890280828,2.12541297054437,3.42795744254511,1.4064139576722834,25.75030587513782,2.727511535542107,91857.59560803279,379085.6382250837,35058.77096014725,471.2061824897954,1873.0333548006174,158.38396466750083,24703.94059272775,104771.01555537502,8861.815167744826,TRUE,1.8511242893086997,1.14788265955787,2.59200753102674,4.698269214223806,4.4633229791873825,4.941319343962572,128385.18474961002,1764535.520871318,40
2020-05-20,2020-03-16,488.89415199856273,718.1385996940621,342.5648482149163,614610.7238636625,9.732943514894819,3.092713606469455,4.822967978728701,2.0545084361462753,37.555370148208645,3.9373460513636247,94297.91632425372,381566.3109024663,35199.00804918101,688.4380590857777,2662.8471876674257,234.41444020181962,30474.96455068031,127082.53152076126,11979.296821183145,TRUE,1.6131797653346578,1.00013259618966,2.32288654055995,4.307971852952512,4.1201386277489975,4.501428975382052,162679.01001236698,2056172.1061196078,41
2020-05-20,2020-03-17,708.5093771521365,1023.054741802687,506.97827457824786,710184.3206255629,14.309054662027641,4.520668544675521,6.935469469434121,3.0175200480894353,54.77595535029354,5.692530842939277,93787.48991314329,362132.06540958316,36370.752288951684,977.6205063036202,3653.9270614304955,334.55649570321225,36387.73137864204,146872.08878054627,14998.534354787018,TRUE,1.3973393879883274,0.881855866584718,2.01307529945531,5.17885356616296,5.012174171272185,5.349187926427415,168534.37966530985,2266632.5577644585,42
2020-05-20,2020-03-18,1006.9228290131625,1415.2858933273428,737.1056978368531,802340.2403841285,20.885208540627175,6.627272328022512,9.907658589961612,4.430825255033337,79.98986012027012,8.299463843876222,90890.03763317563,345991.3092452744,34547.05210335289,1368.2580249325001,4874.410831148418,475.82781766637174,40836.58292498828,158027.08226808015,17593.145087872843,TRUE,1.2239549379274868,0.777146612216247,1.79176360628665,5.871423189470524,5.728456899046306,6.016748622993916,227160.74568713413,2571036.088385129,43
2020-05-20,2020-03-19,1404.6159122658664,1949.0880637699079,1030.55802788128,889335.0748772239,30.22682789821324,9.672325456787268,14.072146961460517,6.54128642785145,113.65880191982397,12.049446021905812,86514.31039089739,320790.7255955773,32093.65231139736,1852.687286732878,6560.32543766745,669.9540547455858,44458.77067942321,170519.39881004434,19850.292286166186,TRUE,1.0835188030726413,0.697122181029529,1.57113528114656,5.247441362922702,5.1421128029433945,5.354198532602992,256867.71720482793,2838098.0224548914,44
2020-05-20,2020-03-20,1896.1006522805212,2618.4880102834027,1406.7530776103856,974314.9453143782,42.52084263786227,14.025088031891293,19.891310473322374,9.506880708523443,154.00405350357767,17.333157976349888,80228.94312398689,297639.33640775684,29460.159226519536,2456.4274741375234,8336.972317751164,923.5281888106622,47025.83453131198,178007.42259295023,21868.689975269866,TRUE,0.9737287979351414,0.639223682155606,1.40982509401426,4.54564085910947,4.469304447267988,4.622841588291037,285959.53001562256,3051075.5965138567,45
2020-05-20,2020-03-21,2493.6904205758465,3431.3405691310554,1855.5637102611545,1047913.7068618587,58.77844556656251,20.09943934257839,27.7937336927942,13.641942002481482,208.75046548190835,24.415533430990475,73519.42444924038,284780.69567919575,27115.975140874107,3202.4137072009,10435.425641011081,1248.3131451358017,48372.754703458515,179387.30641204052,22595.666067300583,TRUE,0.8860453013761558,0.586952925215672,1.27392426963848,3.9755275923294553,3.9185056793713997,4.0331000277683335,313137.55450424686,3276437.2618782036,46
2020-05-20,2020-03-22,3204.5336737582593,4393.461541530103,2424.511487407223,1112765.7192769083,80.01952298660514,28.427176319400704,38.60423104609018,19.52565164799588,266.5928214682556,33.758952867353756,66849.9616455199,258904.8096237739,24373.706032635593,3999.4198580596294,12671.054561124103,1598.6739480466144,49133.777667240036,176740.55531686987,22732.543438457837,TRUE,0.8144970238688152,0.547157694213583,1.14540902665978,3.091089034769136,3.0499678859286887,3.132578143615458,338895.5828440474,3498292.849094159,47
2020-05-20,2020-03-23,3998.5164715144474,5443.148501985332,3079.2587704330263,1181476.9395043743,106.76089920269088,39.59337220890197,52.665277395177185,27.35883975346232,340.17921248921346,46.673633037360126,60643.03055962191,238039.45430642634,21640.73436259899,4937.509950413989,14912.919603697286,2001.7538182217556,48059.28178932125,174369.28048966022,22502.504673915366,TRUE,0.7589398710518038,0.520319711116361,1.06164990198128,2.416879105464629,2.3862457085969546,2.447773558011189,337542.19400059804,3676667.079233641,48
