state,date,cases.fitted,cum.incidence,deaths,deaths.fitted,infections,severe,symptomatic,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,index,infections.lo,infections.hi,cases.fitted.lo,cases.fitted.hi,deaths.fitted.lo,deaths.fitted.hi,cum.incidence.lo,cum.incidence.hi,symptomatic.lo,symptomatic.hi,severe.lo,severe.hi,deaths.lo,deaths.hi
New York,2020-03-22,3289.4951723567265,1053087.0102063422,48.22785546523891,28.184547090291375,77420.42463834296,3318.172759171159,76412.54272596857,TRUE,0.8771090352537882,0.62600140393417,1.14666434186665,3.091089034769136,3.0499678859286887,3.132578143615458,47,29565.993274038763,173348.60539517293,2505.935372468402,4232.2055306254015,20.233692884934534,36.215865564547514,454452.03684928844,2341267.5744643537,32219.9008881361,161631.30497909803,1538.37829366075,6980.372917440954,23.759657464942375,106.03130832555763
New York,2020-03-23,4098.399097454284,1126427.455172882,66.50981960882137,39.77814284648298,68373.05283968203,4259.08005142273,76606.72722028694,TRUE,0.7928353876645378,0.563072517927636,1.05339083977398,2.416879105464629,2.3862457085969546,2.447773558011189,48,21998.792530527408,153073.21904533677,3176.476759909531,5328.183660448308,29.24302097464101,50.83374020968423,475021.65212249814,2452189.4443029026,33134.09102086509,166190.23022705095,2126.313216324753,8845.872330521179,33.35213938004379,144.3501903601173
New York,2020-03-24,4974.486102420743,1191806.2357735331,89.87016374204403,55.007637582329224,61383.74964438401,5307.931957277304,75215.41989516295,TRUE,0.726206549661907,0.518547184743885,0.970750005446988,2.0998260624101244,2.0748340224418196,2.1250179927183632,49,23859.568509163826,140993.84719556815,3814.0041408203906,6452.065641430546,40.443093262224,68.80984506093158,511131.5449068908,2563925.7290465985,29799.750864834998,159978.22116879994,2842.034380689465,11098.474944322325,46.01417651067602,191.02344550825944
New York,2020-03-25,5877.502737889014,1248865.1120891608,119.40315497388934,74.34566634237258,54444.86256399182,6455.849028578419,71600.65972010046,TRUE,0.6738599875192797,0.484864657129061,0.916563835976529,1.8672072687191466,1.8459693039533525,1.888607508139241,50,21946.566997612805,122918.91832589495,4518.709643821428,7611.481726640142,54.997578310925164,91.58632389695643,528344.6428372131,2677964.8922586734,28681.486096537625,153312.40111857007,3658.546503874942,13598.768010334288,64.18683482568143,250.73121332481304
New York,2020-03-26,6752.697762702673,1295445.0042201178,155.19722132630645,98.46984007403944,48386.35989464818,7581.7092216955225,67366.06224371062,TRUE,0.6417066837686244,0.461910235464034,0.875714733624986,1.6772134475126192,1.6587434053319994,1.6958200923441966,51,19205.169221179774,110245.97432751501,5066.266009356714,8670.408334780934,75.35551710777764,122.74496799543826,556651.261503822,2791870.021509664,28824.117122022057,144691.38086721042,4195.424797707542,15789.226867113819,87.48708047225838,321.32635835493267
New York,2020-03-27,7599.715959607716,1337413.5120980265,197.81162675931986,127.56903146606325,42876.85458914663,8750.038764491346,61744.961625461714,TRUE,0.6198844751089096,0.435389784457084,0.859576869832099,1.5661119461034156,1.5494871554098129,1.582855227773623,52,15058.63650857054,99319.1477303597,5499.490035061693,9741.635316087417,96.16778570432959,155.6515069264683,603452.6512920854,2909574.223173152,25459.839015569523,133576.58894774836,4904.294762435623,18037.135171899125,109.38554960297554,399.4775273112869
New York,2020-03-28,8356.852248674646,1377956.1363298465,246.65277209683967,161.79773891829393,39193.70853167794,9852.013989411727,56027.6168781068,TRUE,0.6101923456629205,0.426893386132588,0.84957878843155,1.4673163279615973,1.452145291452786,1.4825926628902497,53,15209.01574355124,90070.95503129401,6119.983543757647,10923.501211497716,122.18907580351325,195.61926684560854,618661.6670356366,2984696.0985870184,23546.388079507546,122790.58081018041,5603.999675342167,20260.53712647053,143.3686273025774,490.0314859877263
New York,2020-03-29,9017.78486275395,1416119.584009708,299.92741550255516,200.6353371551964,35714.27351813356,10818.630163788643,50990.28920370039,TRUE,0.6101302274275704,0.430405037445809,0.865523241068298,1.4327863260160603,1.4185289382647466,1.447138927625182,54,13848.637347057442,81268.37535603074,6815.013550543136,12146.866255933395,150.92537682083474,239.48877739971385,641106.0476401565,3064936.704190939,20285.139736891128,110755.3815629913,5990.4216599069,22138.59468351627,187.4056137370908,605.5825028703455
New York,2020-03-30,9594.045325663395,1450965.13596577,357.1841041779136,243.41663046634807,33624.06057661213,11608.52911758715,45894.20328734827,TRUE,0.619423646815099,0.443537012564543,0.867459015337019,1.330798711527251,1.3176476944238613,1.3440369429725645,55,12598.71608631171,73111.66429403941,7084.469325878753,12792.50970994705,185.74323937992807,292.9499839066245,667030.4796226001,3135199.368236552,17754.922846368525,99353.86736619378,6297.274819829157,23692.573501686344,225.33110131113318,722.8418316548987
New York,2020-03-31,10075.885407995856,1483274.788961118,417.93132979244126,290.0210597485974,31827.597868148267,12191.90590599069,41360.98697634287,TRUE,0.6295803849198033,0.457000157863133,0.88685641548951,1.262577985196066,1.2502551126279824,1.2749815648558975,56,12109.162100831903,71184.88588848917,7624.626469846365,13835.823543497196,224.91917569963152,353.2801338587828,687659.916174284,3203440.5516007105,17311.698129654655,91038.2525364913,6874.2803321681495,25414.056912846845,248.1466563629344,836.5675796691173
