state,.progress,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Illinois,TRUE,2020-02-05,3.573758600597944e-9,1.1794625449975964e-6,2.171712235646869e-12,4.067026872779661,8.12842160541121e-11,1.7984696804019017e-12,5.599858812644744e-11,7.803066025138693e-14,7.342600960750201e-10,5.3284414972240395e-12,4.067026872779661,46.038022734052404,0.21043441778170102,8.862319273994434e-8,1.0107690122268782e-6,5.057019785394301e-9,0.00485282363700707,0.04464264534417836,2.673447181343652e-4,FALSE,NA,NA,NA,NA,NA,NA,0.12149684874090898,31.907230435213567,1
Illinois,TRUE,2020-02-06,1.5854110237534157e-7,3.200550350797196e-5,3.490652217488207e-10,8.35427715394088,3.549328779901984e-9,8.220563887976968e-11,2.4860609019378454e-9,3.849306043269685e-12,3.188358145699878e-8,2.344999674786491e-10,4.400734838666931,43.491287769038124,0.2951364125036596,3.5665633105604715e-6,4.061039163836611e-5,2.0452192390552372e-7,0.08331985479486148,0.7601408379637377,0.004641500818052676,FALSE,NA,NA,NA,NA,NA,NA,0.2782051675374515,62.69866451641749,2
Illinois,TRUE,2020-02-07,2.4708363465101727e-6,2.973762409045504e-4,1.110495340377518e-8,13.340351548381406,5.8143344640897564e-8,1.4832303924177198e-9,4.18529299149399e-8,7.629782380857585e-11,5.173263035640247e-7,3.893829939767743e-9,4.6886527126156565,41.18314319857453,0.3922950606582916,5.078636760076504e-5,5.739622907108036e-4,2.9349109548550495e-6,0.33183815684050577,2.915808804133199,0.01910353553760835,FALSE,NA,NA,NA,NA,NA,NA,0.4770397447187961,88.91381929009691,3
Illinois,TRUE,2020-02-08,2.080984128329848e-5,0.0013021248416240335,1.6006670425859994e-7,18.66211205943013,4.895193689153348e-7,1.4874080838359565e-8,3.6885761374753205e-7,8.200063169057569e-10,4.289567547881848e-6,3.350813581889955e-8,4.846722053718209,38.60136657863954,0.49831137078428067,3.437629803622748e-4,0.0038114819828350514,2.0028042856259616e-5,0.7352088281193139,6.123922047641678,0.044709688152896596,FALSE,3.2729137622774758,1.0085280240543004,18.16357637973675,NA,NA,NA,0.7390890486995345,117.268328417167,4
Illinois,TRUE,2020-02-09,1.0620233146961137e-4,0.004751075569480997,1.4555977711456608e-6,23.994127507189816,2.6506600452661705e-6,9.71925817365734e-8,2.1789674952275886e-6,6.044889865823819e-9,2.2789325814895467e-5,1.8665855616960306e-7,5.060299179769041,39.72999630031617,0.6081201764643283,0.0014485319930167676,0.01578254830350941,8.57917728733583e-5,1.1916856364716768,9.677946978440499,0.07872419233185532,FALSE,2.586405045265573,0.7558929725913524,15.456394645519143,NA,NA,NA,1.0812083819272456,143.9111725822104,5
Illinois,TRUE,2020-02-10,4.225158779938643e-4,0.01494389611170459,9.415486530123983e-6,29.79585209325613,1.0489927219166416e-5,4.464497305085994e-7,9.613156096762851e-6,3.285116673988786e-8,8.825155254186229e-5,7.58418828331063e-7,5.508768995667756,38.83320152448732,0.7361395962444504,0.004422107338623945,0.04754929920298185,2.6825142164935015e-4,1.6165924164681535,12.851358726146938,0.11889432005448294,FALSE,2.19323758849334,0.6238543061196486,10.340724909582688,NA,NA,NA,1.4364482349033718,169.31377084306,6
Illinois,TRUE,2020-02-11,0.0012695828332603108,0.03184898759464162,4.499559371641559e-5,35.26776261224213,3.280620563606366e-5,1.6782250172237695e-6,3.43818034779211e-5,1.3764394736448768e-7,2.708760539566706e-4,2.450194553078015e-6,6.161339548152098,37.72111164102425,0.908762471778106,0.01071824002786937,0.11460921664421636,6.701774719583644e-4,2.089858054582261,15.803436619456399,0.16539835010893106,FALSE,1.9811098417991568,0.6077712860050288,7.891168987003243,NA,NA,NA,1.8284416698424804,194.25067927293958,7
Illinois,TRUE,2020-02-12,0.0031426814384578165,0.06010730702355027,1.5835779053195492e-4,41.219418982369334,8.52980177707734e-5,5.270222478396355e-6,1.0182630015803428e-4,4.6841130552403543e-7,6.925546550651447e-4,6.557808204770751e-6,6.716255065320332,38.27012977518203,1.089164933759926,0.021887510021906934,0.23262434511695151,0.0014401663748960197,2.501969098975001,18.06608870469544,0.23116507945019651,FALSE,1.8543553640242405,0.5773910937163417,5.943966530967009,NA,NA,NA,2.327360621757217,222.72999059445982,8
Illinois,TRUE,2020-02-13,0.006813478698196293,0.10391131147459524,5.378344475936781e-4,48.05171336206766,1.9190560607784451e-4,1.4966645474304776e-5,2.6803699773395744e-4,1.4175655092894006e-6,0.0015315581136615493,1.5185827210131613e-5,7.290940111107393,41.62905663663323,1.3192043493974435,0.0393438041602011,0.413670815894887,0.002813683382480602,2.8269455254610536,19.093005229679378,0.307305987330011,FALSE,1.7624771837625477,0.5885242977737959,5.1165378901743095,NA,NA,NA,2.965229202227854,251.9368834037447,9
Illinois,TRUE,2020-02-14,0.013017381274961801,0.16400055934090466,0.0011168215550290974,57.06830419181561,3.869368704810289e-4,3.685792263046839e-5,6.219342500327271e-4,3.6849107944103604e-6,0.0030114406248669,3.1462170312854116e-5,8.206016023767756,47.57534062746343,1.545956838810225,0.0644844843327689,0.6630055881849064,0.005000831731867278,3.181243910120535,19.90092422175845,0.3821790549614937,FALSE,1.7260139254597644,0.5681890151783752,4.534204831168625,NA,NA,NA,3.762872771633327,281.32305652515265,10
