state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence.est,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,infections.est,infections.est.hi,infections.est.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.est.lo,cum.incidence.est.hi,index
Idaho,2020-04-08,72.52541969242884,98.16363830021581,57.35300669448321,12622.853327061792,2.793486466707317,3.6815100374821643,1.9819209462799283,163.05610035143286,618.2577647340725,72.79558426181606,TRUE,0.883904649882186,0.6068601672573616,1.3326054100033213,0.6153075154189973,0.540368787495199,0.6968745609938446,4784.285899112183,30380.75461072167,55
Idaho,2020-04-09,69.8038571998541,94.72835261801531,54.72282867688476,12784.024417308832,2.942196234082843,3.794673944173454,2.118599921027263,163.7178586930717,584.2462646553001,73.02939300426311,TRUE,0.9254087160096847,0.6112548439760322,1.4013360779173714,0.610827541739512,0.5330729998262241,0.6957996982626756,4860.53980115345,30787.121291562824,56
Idaho,2020-04-10,66.97626309727039,90.3610134249463,51.95239350840903,12964.357622845102,3.039769714513243,3.892389766242431,2.225290741725704,164.1770714891229,584.6483018869351,74.07990479453264,TRUE,0.9653380556214366,0.6219365252044671,1.414578507229819,0.6850357639303477,0.5987794384011076,0.7792040324026361,4933.047438328315,31236.570504360527,57
Idaho,2020-04-11,63.831741741202144,85.25734221803103,48.452737705654876,13140.914252241939,3.1143228437398074,3.9566231218122745,2.2957990793382965,169.98619904878896,588.7130443474235,70.76337037955464,TRUE,1.0011366184787627,0.6364413728590684,1.431555878065648,0.3775741432704059,0.3118209274055439,0.451981340408708,5000.240226224029,31707.564037231106,58
Idaho,2020-04-12,60.160281137417485,80.39325106936835,45.05143006334179,13367.01221717197,3.1742407560150516,4.001426799794256,2.3450085782485783,173.30881019678793,609.2237288497322,73.63723675728565,TRUE,1.0308788120930932,0.6234289729665257,1.40110072641992,0.7149655934302933,0.6184802335028385,0.8210006094876431,5067.724723876221,32202.790226071425,59
Idaho,2020-04-13,56.56750452279349,74.8102806565442,41.87717384319708,13547.797292475627,3.2212534894564633,4.0763212459840945,2.3855331631328225,176.09753116195995,595.3829943990424,73.23931055562795,TRUE,1.0494755378379692,0.6245801522103631,1.4559955489091139,0.8544522319926883,0.7421659716167491,0.9775320126649619,5144.306979175377,32723.213494777196,60
Idaho,2020-04-14,52.423979313253085,69.68758530849809,39.14178569695217,13738.283250048516,3.2296926117720686,4.0890253469150775,2.4136079927341054,182.53592788327842,561.9476823590461,73.54797714611807,TRUE,1.0589892571566994,0.6568865832478796,1.4699820638853691,1.042644900119536,0.913564785450299,1.1833478865103204,5224.202063160207,33233.47011460437,61
Idaho,2020-04-15,48.85281860063761,65.2845414027185,36.38631535615144,13937.664661612533,3.192309446909288,4.065027339535927,2.3895508460492945,183.7324155975988,571.8758156540641,72.18886071578493,TRUE,1.0615734218762067,0.6812382811678221,1.5038511950154865,1.0106087708192444,0.8816802872961154,1.1515340863470558,5543.9646608631765,33934.4933467315,62
Idaho,2020-04-16,45.48544378023352,61.729263749566286,33.99650097441633,14190.398397035533,3.1372114869424754,4.008827605511816,2.3601559970847066,187.75586884372134,595.5473087854816,76.52309663874173,TRUE,1.059637083359592,0.7107330260288856,1.4981181293243375,0.9796329949220558,0.8526739215261923,1.11861117571687,5626.135917244287,34376.02358156311,63
Idaho,2020-04-17,42.24198360406622,57.80875330309486,31.526407683723313,14353.672046552627,3.0702275027765484,3.9267866843411072,2.2797638790604404,195.46723358539845,571.7889275986524,77.92800194456942,TRUE,1.0578127676485056,0.7409688618922702,1.5185871127891,0.7035536325142928,0.5967954766491209,0.822344887607514,5708.843292377574,34828.214159936026,64
