state,setup,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.diagnosed,deaths.diagnosed.hi,deaths.diagnosed.lo,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,diagnoses,diagnoses.hi,diagnoses.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi
Michigan,beta,2020-06-04,692.5194350647944,1289.9112405316002,468.6242634468869,521342.0162645234,58.35874168470301,45.11485275224531,63.217305203186555,23.012734293991898,34.80962371492154,54.0276347141042,25.514163068696355,109.18408229468002,28.57561660457082,827.0227569123495,1390.3474008163153,451.3257360024687,2047.5085860100726,35095.57045503451,485.9994275644299,724.1765235405196,1631.8792012548865,288.19390938750564,2102.456337698514,18120.37851613223,784.5117995595901,TRUE,0.7675779188685602,0.429751553078637,2.24276944606199,3.275861859688102,3.1965759128102174,3.35644813770596,255812.67820060233,1091259.3561259927
Michigan,beta,2020-06-05,715.8888562783657,1359.1175326689954,455.1591601180461,524272.6413176165,59.232674424497745,45.63343661402283,65.89152721870472,23.280992881276102,34.75313652193725,54.24928439683183,25.145411125562013,115.03153738087451,28.434510128004533,816.7362946035722,1469.2096336809052,443.69576699394815,1984.0495332547289,37808.28574037219,446.5316243817408,721.1894874767368,1724.2967071302053,286.9410470902409,2026.8545576678898,18935.34263306778,687.8919638770933,TRUE,0.7767761930966759,0.424251492408179,2.22040392595186,2.4332081378154653,2.3753355554707833,2.4920131795471896,249623.82951689558,1108555.5634883654
Michigan,beta,2020-06-06,739.7430142254248,1457.093131993584,444.36536033975824,528150.3056487353,60.05859545345924,46.139132232825816,68.07529829301069,23.81820072496089,34.29882736464945,55.30959803437746,24.912387210748065,122.42827518657853,28.848135804923302,808.0347424308628,1547.2273800079702,432.8820747423962,1887.48547230355,42000.45794391095,367.89145912157966,705.0231503299515,1850.052928942712,295.31477395522245,1959.5912436773967,21962.000461071075,611.5508103625497,TRUE,0.8041526141707916,0.394061773881148,2.26856722132666,1.757022403646966,1.7142563984916377,1.8004938285984142,252672.85288319405,1135790.042281215
Michigan,beta,2020-06-07,770.753742875628,1596.398503790717,440.4641695454138,532622.6628968436,60.60019919838225,46.524581838887585,70.67981057093127,24.337254381125113,34.068693766100175,55.634568383333075,24.774674394236296,125.10832769861537,28.75475604432021,783.8125245883992,1714.0669918127073,423.5118527532011,1788.5351609072004,50221.38462236845,288.8273395437711,688.21045027082,2026.9082387309666,283.62728041345736,1893.2123206183928,24761.126026482314,545.462414959711,TRUE,0.8530820437281672,0.373166548126275,2.29091436764538,1.5344362721530327,1.4981419754394882,1.5713120727293144,253459.13958372409,1171610.111090204
Michigan,beta,2020-06-08,796.0057601785707,1780.0596057064013,424.15114768358757,535657.1876004424,61.101048904873544,46.93896182420328,73.45173072036697,24.6608953736066,33.89909830602552,56.20118398683167,24.719226171765396,128.0256431800059,28.86840408658425,763.2166645269805,1883.5369679259607,394.91487677348243,1804.0075613878498,56926.402782430465,250.5862229074495,669.6565213238223,2097.8359328060787,282.29910340407537,1807.5321847144446,27554.699281783567,492.60641620273043,TRUE,0.9181015148218958,0.355483243709029,2.31589575367434,0.3286070584789368,0.3129761540873252,0.34474993925746056,289936.4630341044,1242566.7415006508
Michigan,beta,2020-06-09,820.5799556696007,1968.791519014621,394.2314761301874,539030.8392928608,61.56781377349674,47.2232711234833,77.87923655418261,24.927006919192358,33.989105849746714,56.3456776400141,24.788657322361352,132.71117071651807,28.701019794578173,741.8721003217082,2065.1687763502237,365.804007023084,1885.2566482042193,67026.12806729283,205.05075290766098,652.6903141006956,2251.842879371281,284.37971638982526,1745.3242100875032,30434.029549086998,461.7196421188489,TRUE,0.9995668670213435,0.350647912012201,2.36336055153982,0.28206955250254645,0.26787930278451044,0.29675230579883555,272985.0901623708,1258551.5290993368
Michigan,beta,2020-06-10,845.120514895729,2156.264629964553,358.1576654668396,542029.900667062,61.44193618674258,47.36282678792064,80.68144170194532,25.15517535781238,33.75807199900904,56.85064923674682,24.797205384859428,146.01193748292246,28.77798433212004,722.6238891661978,2433.9801297389413,343.8516269837253,1959.1955051805248,75893.85057091786,163.07907335371095,629.9628098783326,2480.5650578867644,270.75499893134764,1646.0121407233864,33485.40077209887,406.90918752765623,TRUE,NA,NA,NA,NA,NA,NA,274047.88239062787,1284890.149112222
Michigan,beta,2020-06-11,865.4394084524512,2443.754458254123,337.1379932618313,546395.0710530473,61.61830399833633,47.07951359318571,84.21710376872548,25.063956506617007,33.698114371637416,57.66765704863295,24.74379987736375,153.1668308818849,29.17091211712846,695.6079885101046,2855.32711510899,318.8335377627903,2138.510280812594,89755.0313140124,124.30825789268796,606.7064109576105,2689.155398594671,258.6982088442884,1606.1926561730684,38118.67404206446,337.61948630383876,TRUE,NA,NA,NA,NA,NA,NA,253748.53827107153,1286048.9768998711
Nebraska,beta,2020-02-06,6.634148225738884e-13,1.1015194431729694e-9,3.3517300470133193e-18,1.6769048431808602,1.8110679429784597e-11,1.410894921106023e-11,7.820525477152248e-11,1.0421017371838738e-12,3.4594252907582435e-12,3.415190938338462e-11,5.983545691417094e-14,1.0833894680438533e-10,1.4697348588290074e-12,5.687635650577877e-7,4.735784721076624e-5,2.0438253783949062e-8,1.6769048431808602,11.363337518340682,0.13322451739423152,4.775082080664482e-8,3.264586266433211e-7,3.730699579720347e-9,0.0027445629152274883,0.019115601624247615,2.2592030817252226e-4,FALSE,NA,NA,NA,NA,NA,NA,0.008576133201123156,9.174748051005173
Nebraska,beta,2020-02-07,7.285197257173609e-11,5.00551684415131e-8,8.200622703915092e-15,3.5373440560268596,7.89629995006573e-10,6.152751529227964e-10,3.401036311982095e-9,4.568944190412354e-11,1.5218823502636066e-10,1.5048119786137413e-9,3.1439995887780874e-12,4.722612009751868e-9,6.443758388458552e-11,2.0339955699044506e-5,0.0011947129948665994,8.020745149528208e-7,1.8679432883143074,10.785033328458304,0.15489932466987147,1.933937335423354e-6,1.3111553373075888e-5,1.5057940516459375e-7,0.047689479375606386,0.32496222937696173,0.003931737960868295,FALSE,NA,NA,NA,NA,NA,NA,0.020688399082320546,18.022639585641112
